,price,city,kms_driven,owner,age,power,brand
16384,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
16385,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
16386,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
16387,11900.0,Noida,34968,First Owner,14,150.0,Hero
16388,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
16389,18000.0,Hyderabad,3869,First Owner,16,100.0,Hero
16390,48000.0,Allahabad,41939,First Owner,8,200.0,Bajaj
16391,50000.0,Bangalore,29134,First Owner,7,220.0,Bajaj
16392,25000.0,Delhi,48587,First Owner,8,150.0,Hero
16393,70000.0,Mumbai,8000,First Owner,5,220.0,Bajaj
16394,87000.0,Pune,140,First Owner,3,160.0,Honda
16395,10000.0,Ghaziabad,64955,First Owner,15,150.0,Bajaj
16396,25000.0,Delhi,65000,First Owner,12,150.0,Yamaha
16397,18000.0,Chennai,22824,First Owner,8,100.0,Hero
16398,14227.0,Bhopal,36000,First Owner,15,150.0,Bajaj
16399,35000.0,Bangalore,60000,First Owner,9,220.0,Bajaj
16400,450000.0,Jodhpur,3430,First Owner,4,750.0,Harley-Davidson
16401,139000.0,Hyderabad,21300,First Owner,4,400.0,Bajaj
16402,80000.0,Hyderabad,7127,First Owner,5,220.0,Bajaj
16403,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
16404,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
16405,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
16406,11900.0,Noida,34968,First Owner,14,150.0,Hero
16407,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
16408,18000.0,Hyderabad,3869,First Owner,16,100.0,Hero
16409,48000.0,Allahabad,41939,First Owner,8,200.0,Bajaj
16410,50000.0,Bangalore,29134,First Owner,7,220.0,Bajaj
16411,25000.0,Delhi,48587,First Owner,8,150.0,Hero
16412,70000.0,Mumbai,8000,First Owner,5,220.0,Bajaj
16413,87000.0,Pune,140,First Owner,3,160.0,Honda
16414,10000.0,Ghaziabad,64955,First Owner,15,150.0,Bajaj
16415,25000.0,Delhi,65000,First Owner,12,150.0,Yamaha
16416,18000.0,Chennai,22824,First Owner,8,100.0,Hero
16417,14227.0,Bhopal,36000,First Owner,15,150.0,Bajaj
16418,35000.0,Bangalore,60000,First Owner,9,220.0,Bajaj
16419,450000.0,Jodhpur,3430,First Owner,4,750.0,Harley-Davidson
16420,139000.0,Hyderabad,21300,First Owner,4,400.0,Bajaj
16421,80000.0,Hyderabad,7127,First Owner,5,220.0,Bajaj
16422,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16423,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16424,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16425,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16426,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16427,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16428,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16429,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16430,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16431,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16432,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16433,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16434,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16435,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16436,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16437,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16438,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16439,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16440,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16441,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16442,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16443,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16444,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16445,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16446,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16447,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16448,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16449,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16450,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16451,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16452,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16453,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16454,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16455,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16456,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16457,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16458,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16459,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16460,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16461,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
